line_name,trial,season,Fruit_weight,Fruit_set
SL2,2014_Spr_Mie,Spr,182.6666667,-2.98009338
SL3,2014_Spr_Mie,Spr,153.6153846,-2.838982591
SL4,2014_Spr_Mie,Spr,179.2222222,-3.027572879
SL5,2014_Spr_Mie,Spr,149.125,-2.876385516
SL6,2014_Spr_Mie,Spr,134.9166667,-2.837406222
SL7,2014_Spr_Mie,Spr,138.2222222,-3.027572879
SL8,2014_Spr_Mie,Spr,200.3333333,-2.840109923
SL9,2014_Spr_Mie,Spr,173.6666667,-2.882403588
SL10,2014_Spr_Mie,Spr,135.4,-2.614959778
SL11,2014_Spr_Mie,Spr,262.25,-2.480930501
SL12,2014_Spr_Mie,Spr,136.9090909,-2.800220661
SL13,2014_Spr_Mie,Spr,152.1111111,-2.98009338
SL14,2014_Spr_Mie,Spr,197.1111111,-2.674852132
SL15,2014_Spr_Mie,Spr,158,-3.268531415
SL16,2014_Spr_Mie,Spr,162.5,-2.948259423
SL17,2014_Spr_Mie,Spr,151.75,-3.091042453
SL18,2014_Spr_Mie,Spr,149.8571429,-2.719333819
SL20,2014_Spr_Mie,Spr,209,-3.01985751
SL21,2014_Spr_Mie,Spr,187.1818182,-3.135494216
SL22,2014_Spr_Mie,Spr,249,-2.926359391
SL23,2014_Spr_Mie,Spr,127.6666667,-2.956991445
SL24,2014_Spr_Mie,Spr,157.7142857,-2.803360381
SL25,2014_Spr_Mie,Spr,189.7777778,-3.094532858
SL26,2014_Spr_Mie,Spr,223.8181818,-3.135494216
SL27,2014_Spr_Mie,Spr,180.1666667,-3.016934481
SL28,2014_Spr_Mie,Spr,225.75,-3.094532858
SL29,2014_Spr_Mie,Spr,177.25,-3.135494216
SL30,2014_Spr_Mie,Spr,134.1818182,-2.800220661
SL31,2014_Spr_Mie,Spr,164.625,-2.837406222
SL32,2014_Spr_Mie,Spr,153.7777778,-2.875863731
SL33,2014_Spr_Mie,Spr,247.125,-3.113042384
SL34,2014_Spr_Mie,Spr,167,-3.19047635
SL35,2014_Spr_Mie,Spr,163.8333333,-2.944438979
SL36,2014_Spr_Mie,Spr,182.75,-3.222348051
SL37,2014_Spr_Mie,Spr,172.25,-3.222348051
SL38,2014_Spr_Mie,Spr,198.8333333,-3.01985751
SL39,2014_Spr_Mie,Spr,149.5,-3.094532858
SL40,2014_Spr_Mie,Spr,165.3,-3.17805383
SL41,2014_Spr_Mie,Spr,173.5714286,-2.956991445
SL42,2014_Spr_Mie,Spr,161.3333333,-3.135494216
SL43,2014_Spr_Mie,Spr,209.6666667,-3.016934481
SL44,2014_Spr_Mie,Spr,201.625,-3.055048851
